className,eventId,traceLevel,nwFunction,networkElement1,networkElement2,messageDirection,
com.ericsson.pm_event.CuCpPerNgPagingRepOuterClass$CuCpPerNgPagingRep,3205,GNODEB,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpPerRanPagRepOuterClass$CuCpPerRanPagRep,3214,GNODEB,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpX2ConnReleaseOuterClass$CuCpX2ConnRelease,3203,GNODEB,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpXnConfigurationTransferOuterClass$CuCpXnConfigurationTransfer,3271,GNODEB,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,1,
com.ericsson.pm_event.CuCpPerCuCpRrcConnectedUeOuterClass$CuCpPerCuCpRrcConnectedUe,3171,GNODEB,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpPerCuCpRrcInactiveUeOuterClass$CuCpPerCuCpRrcInactiveUe,3219,GNODEB,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuUpPerNfTrafficRepOuterClass$CuUpPerNfTrafficRep,4003,GNODEB,PM_EVENT_MESSAGE_GROUP_CUUP,PP,UE,,
com.ericsson.pm_event.CuUpPerDrbSetupOuterClass$CuUpPerDrbSetup,4009,GNODEB,PM_EVENT_MESSAGE_GROUP_CUUP,PP,UE,,
com.ericsson.pm_event.CuUpPerPduSessionOuterClass$CuUpPerPduSession,4010,GNODEB,PM_EVENT_MESSAGE_GROUP_CUUP,PP,UE,,
com.ericsson.pm_event.DuBbDataCollectionLostOuterClass$DuBbDataCollectionLost,2007,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.CuCpPerCellDrbSetupOuterClass$CuCpPerCellDrbSetup,3209,CELL,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpPerCellPduSessionOuterClass$CuCpPerCellPduSession,3210,CELL,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpPerCellRrcConnectedUeOuterClass$CuCpPerCellRrcConnectedUe,3172,CELL,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpPerCellRrcInactiveUeOuterClass$CuCpPerCellRrcInactiveUe,3220,CELL,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpPerNrCellCuCaConfiguredDlOuterClass$CuCpPerNrCellCuCaConfiguredDl,3202,CELL,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.DuCellLockUnlockOuterClass$DuCellLockUnlock,2049,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellBeamMgmtOuterClass$DuPerCellBeamMgmt,2013,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellIpnPerPrbOuterClass$DuPerCellIpnPerPrb,2047,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
